skill,KNIGHT,CLERIC,RANGER,DRUID,ALCHEMIST,WIZARD,DEMONIAC,HERETIC,DEATH_KNIGHT,NECROMANCER,OVERLORD,WARLOCK,BARBARIAN,BATTLE_MAGE,BEASTMASTER,WITCH,PLANESWALKER,ELEMENTALIST
OFFENCE,8,2,6,2,4,2,7,3,8,2,8,3,10,7,6,3,5,3
ARMORER,6,3,5,3,5,3,5,3,7,3,7,3,6,5,6,4,5,3
LEARNING,2,4,2,4,4,4,2,4,2,4,2,4,1,3,2,4,3,4
LOGISTICS,5,3,7,4,4,3,5,3,4,3,5,3,6,5,6,5,5,4
PATHFINDING,4,2,5,3,3,2,4,2,4,2,5,2,5,4,5,4,4,3
TACTICS,6,1,5,1,2,1,6,2,6,1,7,2,8,6,7,3,5,2
LEADERSHIP,7,5,5,4,4,3,5,2,4,1,5,2,6,5,4,2,4,3
LUCK,4,4,5,5,3,3,3,3,2,2,3,3,4,4,5,5,4,4
AIR_MAGIC,2,5,3,5,4,5,2,4,1,4,1,4,1,4,2,4,5,6
EARTH_MAGIC,3,6,4,6,5,6,2,5,2,5,2,5,2,5,3,5,6,6
FIRE_MAGIC,1,4,1,3,4,5,4,6,1,4,2,6,1,5,1,5,6,6
WATER_MAGIC,3,6,4,6,5,5,1,4,1,4,1,4,1,4,3,5,5,6
NECROMANCY,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
SORCERY,1,5,1,5,4,6,2,6,1,6,1,6,1,5,1,5,5,6
EAGLE_EYE,1,3,1,3,2,3,1,3,1,3,1,3,1,2,1,3,3,3
MYSTICISM,1,4,1,4,3,5,1,5,1,5,1,5,1,4,1,4,5,5
SCHOLAR,1,5,1,5,4,6,1,5,1,5,1,5,1,4,1,4,5,6
ESTATES,3,3,2,2,3,3,2,2,3,3,3,2,2,2,2,2,2,2
ARTILLERY,4,1,3,1,2,1,4,1,4,1,5,1,5,4,4,1,3,1
